,Date Produced,Title,Claims
99,2022-09-21,Apparatus for holding electronic lock components,"['The ornamental design of an apparatus for holding electronic lock components, as shown and described.']"
100,2022-09-21,Screwdriver,"['The ornamental design for a screwdriver, as shown and described.']"
101,2022-09-21,Folding pull saw,"['The ornamental design for a folding pull saw, as shown and described.']"
102,2022-09-21,Door lock,"['The ornamental design for a door lock, as shown and described.']"
103,2022-09-21,Door lock set,"['The ornamental design for a door lock set, as shown and described.']"
104,2022-09-20,Door handle,"['The ornamental design for a door handle, as shown and described.']"
105,2022-09-21,Bracket,"['The ornamental design for a bracket, as shown and described.']"
106,2022-09-20,Lateral post bracket kit,"['The ornamental design for a lateral post bracket kit, as shown and described.']"
107,2022-09-21,Rafter bracket,"['The ornamental design for a rafter bracket, as shown and described.']"
108,2022-09-20,Guide for cables,"['I claim the ornamental design for a guide for cables, as shown and described.']"
109,2022-09-20,Cord organizer,"['The ornamental design for cord organizer, as shown and described.']"
110,2022-09-21,Clip for securing elastic bands and attaching charms,"['The ornamental design for a clip for securing elastic bands and attaching charms, as shown and described.']"
111,2022-09-21,Cord management device,"['The ornamental design for a cord management device, as shown and described.']"
112,2022-09-20,Chain hook assembly,"['The ornamental design for the chain hook assembly, as shown and described herein.']"
113,2022-09-21,Mounting hardware,"['The ornamental design for a mounting hardware, as shown and described.']"
114,2022-09-21,Floor tile connector,"['The ornamental design for a floor tile connector, as shown and described.']"
115,2022-09-21,Wing screw,"['The ornamental design for a wing screw, as shown and described.']"
116,2022-09-21,Blister package,"['The ornamental design for a blister package, as shown and described.']"
117,2022-09-21,Gift card carrier,"['The ornamental design for a gift card carrier, as shown and described.']"
118,2022-09-21,"Primary package for a solid, single dose beauty care composition","['The ornamental design for a primary package for a solid, single dose beauty care composition, as shown and described.']"
119,2022-09-21,Package,"['I claim the ornamental design for a package, as shown and described.']"
120,2022-09-20,Display box,"['The ornamental design for a display box, as shown and described.']"
121,2022-09-21,Container for food products,"['The ornamental design for container for food products, as shown and described.']"
122,2022-09-21,Container,"['The ornamental design for a container, as shown and described.']"
123,2022-09-21,Jar with elongated closure,"['The ornamental design for a jar with elongated closure, as shown and described.']"
124,2022-09-20,Carton,"['The ornamental design for a carton, as shown and described.']"
125,2022-09-21,Packaging,"['The ornamental design for a packaging, as shown and described.']"
126,2022-09-21,Clamshell packaging for a temperature controlled shipper,"['The ornamental design for a clamshell packaging for a temperature controlled shipper, as shown and described.']"
127,2022-09-20,Carton blank for a bottle cap,"['The ornamental design for a carton blank for a bottle cap, as shown and described.']"
128,2022-09-21,Bottle lid,"['The ornamental design for a bottle lid, as shown and described.']"
129,2022-09-21,Shave preparation container,"['The ornamental design for a shave preparation container, as shown and described.']"
130,2022-09-21,Beverage bottle,"['The ornamental design for a beverage bottle, as shown and described.']"
131,2022-09-21,Packaging container,"['The ornamental design for a packaging container, as shown and described.']"
132,2022-09-20,Bottle,"['The ornamental design for a bottle, as shown and described.']"
133,2022-09-21,Tissue box,"['The ornamental design of a tissue box, as shown and described.']"
134,2022-09-20,Electronic clock,"['The ornamental design for an electronic clock, as shown and described.']"
135,2022-09-21,Watch with case and integrated band,"['The ornamental design for a watch with case and integrated band, as shown and described.']"
136,2022-09-21,Watch case,"['The ornamental design for a watch case, as shown and described.']"
137,2022-09-21,Watch case with dial,"['The ornamental design for watch case with dial, as shown and described.']"
138,2022-09-21,Irrigation controller,"['The ornamental design for an irrigation controller, as shown and described.']"
139,2022-09-21,Telematics device,"['The ornamental design for a telematics device, as shown and described.']"
140,2022-09-21,Electrical circuit tester,"['The ornamental design for an electrical circuit tester, as shown and described.']"
141,2022-09-21,Alcohol tester,"['The ornamental design for an alcohol tester, as shown and described.']"
142,2022-09-21,Pressure regulator,"['The ornamental design for a pressure regulator, as shown and described.']"
143,2022-09-20,Body scanner,"['I claim the ornamental design for a body scanner, as shown and described.']"
144,2022-09-21,Asset tracking equipment housing,"['We claim the ornamental design for an asset tracking equipment housing, as shown and described.']"
145,2022-09-21,Access control reader,"['The ornamental design for an access control reader, as shown and described.']"
146,2022-09-21,Watch dial,"['The ornamental design for the watch dial, as shown and described.']"
147,2022-09-21,Ring with an integrated spoon,"['The ornamental design for a ring with an integrated spoon, as shown and described.']"
148,2022-09-21,Watch band,"['I claim the ornamental design for a watch band, as shown and described.']"
149,2022-09-21,Sanitizer dispenser,"['The ornamental design for the sanitizer dispenser, as shown and described.']"
150,2022-09-21,Bracelet,"['The ornamental design for a bracelet, as shown and described.']"
151,2022-09-21,Article of jewelry,"['The ornamental design for an article of jewelry, as shown and described.']"
152,2022-09-21,Ring,"['The ornamental design for a ring, as shown and described.']"
153,2022-09-21,Earring,"['An ornamental design for an earring, as shown and described.']"
154,2022-09-21,Charm,"['The ornamental design for a charm, as shown and described.']"
155,2022-09-21,Halloween decoration,"['The ornamental design for a halloween decoration, as shown and described.']"
156,2022-09-21,Bluebonnet flower-shaped table ornament,"['The ornamental design for a bluebonnet flower-shaped table ornament, as shown.']"
157,2022-09-21,Electric transport vehicle,"['The ornamental design for an electric transport vehicle, as shown and described.']"
158,2022-09-21,Mining truck hopper,"['I claim the ornamental design for a mining truck hopper, as shown and described.']"
159,2022-09-21,Aerial vehicle,"['The ornamental design for an aerial vehicle, as shown and described.']"
160,2022-09-20,Unmanned cargo delivery aircraft,"['The ornamental design for an unmanned cargo delivery aircraft, as shown and described.']"
161,2022-09-20,Transportable unmanned cargo delivery aircraft,"['The ornamental design for a transportable unmanned cargo delivery aircraft, as shown and described.']"
162,2022-09-21,Horse drawn sulky with wheels,"['The ornamental design for a horse drawn sulky with wheels, as shown and described.']"
163,2022-09-21,Horse drawn sulky with skis,"['The ornamental design for a horse drawn sulky with skis, as shown and described.']"
164,2022-09-20,Motor vehicle,"['The ornamental design for a motor vehicle, as shown and described.']"
165,2022-09-21,All-terrain vehicle body,"['We claim the ornamental design for an all-terrain vehicle body, as shown and described.']"
166,2022-09-21,Motorcycle,"['The ornamental design for a motorcycle, as shown and described.']"
167,2022-09-20,Sprocket,"['The ornamental design for a sprocket, as shown and described.']"
168,2022-09-21,Steering device,"['I claim the ornamental design for a steering device, as shown and described.']"
169,2022-09-21,Air intake grille,"['The ornamental design for an air intake grille, as shown and described.']"
170,2022-09-21,Vehicle front bumper,"['The ornamental design for a vehicle front bumper, as shown and described.']"
171,2022-09-20,Brake actuator,"['The ornamental design for a brake actuator, as shown and described.']"
172,2022-09-21,Vehicle fairing extension,"['The ornamental design for a vehicle fairing extension, as shown and described.']"
173,2022-09-20,Vehicle fender,"['The ornamental design for a vehicle fender, as shown and described.']"
174,2022-09-21,Air intake trim,"['The ornamental design for an air intake trim, as shown and described.']"
175,2022-09-21,Vehicle side door,"['The ornamental design for a vehicle side door, as shown and described.']"
176,2022-09-21,Vehicle fairing,"['The ornamental design for a vehicle fairing, as shown and described.']"
177,2022-09-20,Fuel tank cap,"['The ornamental design for a fuel tank cap, as shown and described.']"
178,2022-09-21,Bicycle rim,"['The ornamental design for a bicycle rim, as shown and described.']"
179,2022-09-20,Vehicle wheel,"['I claim the ornamental design for a vehicle wheel, as shown and described.']"
180,2022-09-20,Ship,"['The ornamental design for a ship, as shown and described.']"
181,2022-09-20,Aircraft,"['The ornamental design for an aircraft, as shown and described.']"
182,2022-09-21,Bicycle carrier,"['The ornamental design for a bicycle carrier, as shown and described.']"
183,2022-09-20,Rack foot,"['The ornamental design for a rack foot, as shown and described.']"
184,2022-09-21,Convertible tailgate table,"['The ornamental design for a convertible tailgate table, as shown and described.']"
185,2022-09-20,Automotive interior receptacle,"['The ornamental design for an automotive interior receptacle, as shown and described.']"
186,2022-09-21,Two-tier vehicle cup holder,"['The ornamental design for a two-tier vehicle cup holder, as shown and described.']"
187,2022-09-21,Wheel,"['The ornamental design for a wheel, as shown and described.']"
188,2022-09-21,Tire,"['The ornamental design for the tire, as shown and described.']"
189,2022-09-21,Tire for golf car,"['The ornamental design for the tire for a golf car, as shown and described.']"
190,2022-09-21,All-terrain vehicle tire,"['The ornamental design for the all-terrain vehicle tire, as shown and described.']"
191,2022-09-20,Vehicle tyre,"['The ornamental design for vehicle tyre, as shown and described.']"
192,2022-09-21,Charging station for electric vehicles,"['The ornamental design for a charging station for electric vehicles, as shown and described.']"
193,2022-09-20,Detachable power supply for data logger,"['The ornamental design for a detachable power supply for data logger, as shown and described.']"
194,2022-09-21,Battery,"['The ornamental design for a battery, as shown and described.']"
195,2022-09-20,Charging station,"['The ornamental design for a charging station, as shown and described.']"
196,2022-09-21,Accumulator,"['The ornamental design of an accumulator, as shown.']"
197,2022-09-21,Charger,"['The ornamental design for a charger, as shown and described.']"
198,2022-09-20,Rechargeable bank,"['The ornamental design for a rechargeable bank, as shown and described.']"
199,2022-09-21,Adaptor,"['The ornamental design for an adaptor, as shown and described.']"
200,2022-09-21,Electric motor adapter,"['The ornamental design for an electric motor adapter, as shown and described.']"
201,2022-09-21,Handle for storage battery,"['The ornamental design for a handle for storage battery, as shown and described.']"
202,2022-09-21,Connector,"['The ornamental design for a connector, as shown and described.']"
203,2022-09-20,Plug adapter,"['The ornamental design for a plug adapter, as shown and described.']"
204,2022-09-21,Cable socket,"['The ornamental design for a cable socket, as shown and described.']"
205,2022-09-21,Plug,"['The ornamental design for a plug, as shown and described.']"
206,2022-09-21,Magnetically securing cable plug,"['The ornamental design for a magnetically securing cable plug, as shown and described.']"
207,2022-09-21,Connector plug,"['The ornamental design for connector plug, as shown and described.']"
208,2022-09-21,Weatherproof multipurpose enclosure,"['The ornamental design for a weatherproof multipurpose enclosure, as shown and described.']"
209,2022-09-21,Electricity distribution box,"['The ornamental design for an electricity distribution box, as shown and described.']"
210,2022-09-21,Junction box for data conductors,"['The ornamental design for a junction box for data conductors, as shown and described.']"
211,2022-09-21,Safety plug,"['The ornamental design for a safety plug, as shown and described.']"
212,2022-09-21,Relay device,"['The ornamental design for a relay device, as shown and described.']"
213,2022-09-20,Intelligent switch,"['I claim the ornamental design for an intelligent switch, as shown and described.']"
214,2022-09-20,Massager controller,"['The ornamental design for a massager controller, as shown and described.']"
215,2022-09-20,Toggle switch,"['What is claimed is the ornamental design for toggle switch, as shown and described.']"
216,2022-09-21,Light-emitting diode array,"['The ornamental design for a light-emitting diode array, as shown and described.']"
217,2022-09-21,Light emitting diode,"['The ornamental design for a light emitting diode, as shown and described.']"
218,2022-09-21,Housing for electricity distribution boards,"['The ornamental design for a housing for electricity distribution boards, as shown and described.']"
219,2022-09-21,Television set,"['The ornamental design for a television set, as shown and described.']"
220,2022-09-20,Television receiver,"['The ornamental design for a television receiver, as shown and described.']"
221,2022-09-20,Baby monitor,"['The ornamental design for an baby monitor, as shown and described.']"
222,2022-09-21,Mobile phone,"['The ornamental design for a mobile phone, as shown and described.']"
223,2022-09-21,Electronic device,"['The ornamental design for an electronic device, as shown and described.']"
224,2022-09-20,Digital audio player,"['The ornamental design for a digital audio player, as shown and described.']"
225,2022-09-21,Headphones,"['The ornamental design for headphones, as shown and described.']"
226,2022-09-21,Wireless headphone,"['The ornamental design for a wireless headphone, as shown and described.']"
227,2022-09-21,Wireless earphone,"['The ornamental design for a wireless earphone, as shown and described.']"
228,2022-09-20,Headset,"['The ornamental design for a headset, as shown and described.']"
229,2022-09-21,Headphone,"['The ornamental design for a headphone, as shown and described.']"
230,2022-09-21,Indoor wall with built-in home appliances,"['The ornamental design for an indoor wall with built-in home appliances, as shown and described.']"
231,2022-09-21,Waveguide,"['The ornamental design for a waveguide, as shown and described.']"
232,2022-09-20,Earphone,"['The ornamental design for an earphone, as shown and described.']"
233,2022-09-21,Microphone,"['The ornamental design for a microphone, as shown and described.']"
234,2022-09-21,Antenna,"['We claim the ornamental design for the antenna, as shown and described.']"
235,2022-09-21,Pole mount,"['The ornamental design for a pole mount, as shown and described.']"
236,2022-09-21,Electronic module holder for package tracking and monitoring,"['The ornamental design for a electronic module holder for package tracking and monitoring, as shown and described.']"
237,2022-09-21,Waterproof phone case,"['The ornamental design for a waterproof phone, case as shown.']"
238,2022-09-21,Holder,"['The ornamental design for a holder, as shown and described.']"
239,2022-09-21,Vehicle mount for electronic device,"['The ornamental design for a vehicle mount for electronic device, as shown and described.']"
240,2022-09-21,Magnet cell phone ring stand,"['The ornamental design for a magnet cell phone ring stand, as shown and described.']"
241,2022-09-21,Magnetic phone holder,"['The ornamental design for a magnetic phone holder, as shown and described.']"
242,2022-09-21,Laptop computer,"['The ornamental design for a laptop computer, as shown and described.']"
243,2022-09-21,Computing device,"['The ornamental design for a computing device, as shown and described.']"
244,2022-09-21,Display screen,"['The ornamental design for a display screen, as shown and described.']"
245,2022-09-21,Watch with display,"['The ornamental design for a watch with display, as shown and described.']"
246,2022-09-21,Camera watch,"['The ornamental design for a camera watch, as shown and described.']"
247,2022-09-21,Wearable digital assistant device,"['The ornamental design for a “wearable digital assistant device,” as shown and described.']"
248,2022-09-21,Media backup device,"['The ornamental design for a media backup device, as shown and described.']"
249,2022-09-20,Portable monitor,"['The ornamental design for a portable monitor, as shown and described.']"
250,2022-09-21,3D user input apparatus,"['The ornamental design for a 3D user input apparatus, as shown and described.']"
251,2022-09-21,Mouse,"['The ornamental design for a mouse, as shown and described.']"
252,2022-09-21,Cartridge for an electronic pen,"['The ornamental design for a cartridge for an electronic pen, as shown and described.']"
253,2022-09-21,Range extender device,"['The ornamental design for a range extender device, as shown and described.']"
254,2022-09-21,Docking station,"['The ornamental design for a docking station, as shown and described.']"
255,2022-09-21,Laptop case,"['The ornamental design for a laptop case, as shown and described.']"
256,2022-09-21,Case for portable electronic computing device,"['The ornamental design for a case for portable electronic computing device, as shown and described.']"
257,2022-09-20,Laptop stand,"['The ornamental design for a laptop stand, as shown and described.']"
258,2022-09-21,Display module for wearable device,"['The ornamental design for a display module for wearable device, as shown and described.']"
259,2022-09-21,Display stand,"['The ornamental design for a display stand, substantially as shown and described.']"
260,2022-09-21,Display mount,"['The ornamental design for a display mount, as shown and described.']"
261,2022-09-21,Holder for a display panel,"['The ornamental design for a holder for a display panel, as shown and described.']"
262,2022-09-21,Base,"['The ornamental design for a base, as shown and described.']"
263,2022-09-21,Display screen or portion thereof with graphical user interface,"['The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.']"
264,2022-09-21,Portion of a display panel with a graphical user interface,"['The ornamental design for a portion of a display panel with a graphical user interface, as shown and described.']"
265,2022-09-21,Display screen or portion thereof with transitional graphical user interface,"['The ornamental design for a display screen or portion thereof with transitional graphical user interface, as shown and described.']"
266,2022-09-21,Display panel with a graphical user interface,"['We claim the ornamental design for a display panel with a graphical user interface, as shown and described.']"
267,2022-09-21,Display screen or portion thereof with a graphical user interface,"['The ornamental design for a display screen or portion thereof with a graphical user interface, as shown and described herein.']"
268,2022-09-21,Display screen or portion thereof with graphical user interface for a health management application,"['The ornamental design for a display screen or portion thereof with a graphical user interface for a health management application, as shown and described.']"
269,2022-09-21,Display screen with graphical user interface,"['The ornamental design for a display screen with graphical user interface, as shown and described.']"
270,2022-09-21,Portion of a display screen with a graphical user interface,"['The ornamental design for a portion of a display screen with a graphical user interface, as shown and described.']"
271,2022-09-21,"Display screen, or portion thereof, with a graphical user interface for a baccarat game","['The ornamental design for a display screen, or portion thereof, with a graphical user interface for a baccarat game, as shown and described.']"
272,2022-09-21,Computer display panel with a graphical user interface for a dermatology report,"['The ornamental design for a computer display panel with a graphical user interface for a dermatology report, as shown and described.']"
273,2022-09-21,Display panel portion with an animated computer icon,"['The ornamental design for a display panel portion with an animated computer icon, substantially as shown and described.']"
274,2022-09-21,Display screen or portion thereof having a graphical user interface,"['The ornamental design for a display screen or portion thereof having a graphical user interface, as shown and described.']"
275,2022-09-21,Display screen with animated graphical user interface,"['The ornamental design for a display screen with animated graphical user interface, as shown and described.']"
276,2022-09-20,Display screen with a graphical user interface for power management,"['The ornamental design for a display screen with graphical user interface for power management, as shown and described.']"
277,2022-09-21,Display screen or portion thereof with animated graphical user interface,"['The ornamental design for a display screen or portion thereof with animated graphical user interface, as shown and described.']"
278,2022-09-21,Display screen of a computing device with parking assistance graphical user interface,"['I claim the ornamental design for a display screen of a computing device with parking assistance graphical user interface, as shown and described.']"
279,2022-09-21,Display screen with graphical user interface for a software directed at clustering machine learning flows,"['The ornamental design for a display screen with graphical user interface for a software directed at clustering machine learning flows, as shown and described.']"
280,2022-09-21,Display screen with graphical user interface for a software directed at constructing machine learning workflows through machine learning suggestions,"['The ornamental design for a display screen with graphical user interface for a software directed at constructing machine learning workflows through machine learning suggestions, as shown and described.']"
281,2022-09-21,Electronic display for a wearable device with an animated graphical user interface,"['The ornamental design for an electronic display for a wearable device with an animated graphical user interface, as shown and described.']"
282,2022-09-21,Display panel of a programmed computer system with a graphical user interface,"['What is claimed is the ornamental design for a display panel of a programmed computer system with a graphical user interface, as shown and described.']"
283,2022-09-20,Display screen or portion thereof with icon,"['The ornamental design for a display screen or portion thereof with icon, as shown and described.']"
284,2022-09-21,Display panel portion with a computer icon,"['The ornamental design for a display panel portion with a computer icon, substantially as shown and described.']"
285,2022-09-21,Portion of a display screen with icon of a robotic arm,"['The ornamental design for a portion of a display screen with icon of a robotic arm, as shown and described.']"
286,2022-09-21,Trolling motor foot pedal,"['The ornamental design for a trolling motor foot pedal, as shown and described.']"
287,2022-09-20,EFI throttle body,"['The ornamental design for an EFI throttle body, as shown and described.']"
288,2022-09-21,Electric pump,"['The ornamental design for an electric pump, as shown and described.']"
289,2022-09-21,Air intake tower,"['The ornamental design for an air intake tower, as shown and described.']"
290,2022-09-21,Loader arms,"['We claim the ornamental design for loader arms, as shown and described.']"
291,2022-09-21,Adapter cover for a ground engaging machine implement,"['The ornamental design for an adapter cover for a ground engaging machine implement, as shown and described.']"
292,2022-09-21,Adapter for a ground engaging machine implement,"['The ornamental design for an adapter for a ground engaging machine implement, as shown and described.']"
293,2022-09-21,Tip for a ground engaging machine implement,"['The ornamental design for a tip for a ground engaging machine implement, as shown and described.']"
294,2022-09-21,Thread guide,"['The ornamental design for a thread guide, as shown and described.']"
295,2022-09-21,Refrigerator,"['The ornamental design for a refrigerator, as shown and described.']"
296,2022-09-21,Ice cube tray,"['The ornamental design for an ice cube tray, as shown and described.']"
297,2022-09-20,Bioprinter assembly,"['The ornamental design for a bioprinter assembly, as shown and described.']"
298,2022-09-20,Roller bath assembly,"['The ornamental design for a roller bath assembly, as shown and described.']"
299,2022-09-21,Mixing and kneading machine,"['The ornamental design for a mixing and kneading machine, as shown and described.']"
300,2022-09-20,Target profile for a physical vapor deposition chamber target,"['We claim the ornamental design for a target profile for a physical vapor deposition chamber target, as shown and described.']"
301,2022-09-20,Drill bit adapter,"['The ornamental design for a drill bit adapter, as shown and described.']"
302,2022-09-21,Cutting edge for drilling tool,"['The ornamental design for a cutting edge for drilling tool, as shown and described.']"
303,2022-09-21,Cutting tool,"['The ornamental design for a cutting tool, as shown and described.']"
304,2022-09-20,Actuator,"['The ornamental design for an actuator, as shown and described.']"
305,2022-09-20,Coupler for actuator,"['The ornamental design for a coupler for actuator, as shown and described.']"
306,2022-09-20,Male insulating cap,"['The ornamental design for a male insulating cap, as shown and described.']"
307,2022-09-21,Vortex tube,"['The ornamental design for vortex tube, as shown and described.']"
308,2022-09-20,Controlling apparatus for soldering,"['The ornamental design for a controlling apparatus for soldering, as shown and described.']"
309,2022-09-20,Hot air blowing tool for melting solder,"['The ornamental design for a hot air blowing tool for melting solder, as shown and described.']"
